,Run,Model,Groups,Adapter method,Subject / Task
399,"math:subject=precalculus,level=1,use_official_examples=False,use_chain_of_thought=True,model=anthropic_claude-instant-1.2",anthropic/claude-instant-1.2,math_chain_of_thought,generation,precalculus
400,"math:subject=precalculus,level=1,use_official_examples=False,use_chain_of_thought=True,model=anthropic_claude-v1.3",anthropic/claude-v1.3,math_chain_of_thought,generation,precalculus
401,"math:subject=precalculus,level=1,use_official_examples=False,use_chain_of_thought=True,model=cohere_command",cohere/command,math_chain_of_thought,generation,precalculus
402,"math:subject=precalculus,level=1,use_official_examples=False,use_chain_of_thought=True,model=cohere_command-light",cohere/command-light,math_chain_of_thought,generation,precalculus
403,"math:subject=precalculus,level=1,use_official_examples=False,use_chain_of_thought=True,model=google_text-bison@001",google/text-bison@001,math_chain_of_thought,generation,precalculus
404,"math:subject=precalculus,level=1,use_official_examples=False,use_chain_of_thought=True,model=google_text-unicorn@001",google/text-unicorn@001,math_chain_of_thought,generation,precalculus
405,"math:subject=precalculus,level=1,use_official_examples=False,use_chain_of_thought=True,model=meta_llama-2-13b",meta/llama-2-13b,math_chain_of_thought,generation,precalculus
406,"math:subject=precalculus,level=1,use_official_examples=False,use_chain_of_thought=True,model=meta_llama-2-70b",meta/llama-2-70b,math_chain_of_thought,generation,precalculus
407,"math:subject=precalculus,level=1,use_official_examples=False,use_chain_of_thought=True,model=meta_llama-2-7b",meta/llama-2-7b,math_chain_of_thought,generation,precalculus
408,"math:subject=precalculus,level=1,use_official_examples=False,use_chain_of_thought=True,model=meta_llama-65b",meta/llama-65b,math_chain_of_thought,generation,precalculus
409,"math:subject=precalculus,level=1,use_official_examples=False,use_chain_of_thought=True,model=mistralai_mistral-7b-v0.1",mistralai/mistral-7b-v0.1,math_chain_of_thought,generation,precalculus
410,"math:subject=precalculus,level=1,use_official_examples=False,use_chain_of_thought=True,model=mistralai_mixtral-8x7b-32kseqlen",mistralai/mixtral-8x7b-32kseqlen,math_chain_of_thought,generation,precalculus
411,"math:subject=precalculus,level=1,use_official_examples=False,use_chain_of_thought=True,model=openai_gpt-3.5-turbo-0613",openai/gpt-3.5-turbo-0613,math_chain_of_thought,generation,precalculus
412,"math:subject=precalculus,level=1,use_official_examples=False,use_chain_of_thought=True,model=openai_gpt-4-0613",openai/gpt-4-0613,math_chain_of_thought,generation,precalculus
413,"math:subject=precalculus,level=1,use_official_examples=False,use_chain_of_thought=True,model=openai_gpt-4-1106-preview",openai/gpt-4-1106-preview,math_chain_of_thought,generation,precalculus
414,"math:subject=precalculus,level=1,use_official_examples=False,use_chain_of_thought=True,model=openai_text-davinci-002",openai/text-davinci-002,math_chain_of_thought,generation,precalculus
415,"math:subject=precalculus,level=1,use_official_examples=False,use_chain_of_thought=True,model=openai_text-davinci-003",openai/text-davinci-003,math_chain_of_thought,generation,precalculus
416,"math:subject=precalculus,level=1,use_official_examples=False,use_chain_of_thought=True,model=tiiuae_falcon-40b",tiiuae/falcon-40b,math_chain_of_thought,generation,precalculus
417,"math:subject=precalculus,level=1,use_official_examples=False,use_chain_of_thought=True,model=tiiuae_falcon-7b",tiiuae/falcon-7b,math_chain_of_thought,generation,precalculus
418,"math:subject=precalculus,level=1,use_official_examples=False,use_chain_of_thought=True,model=writer_palmyra-x-v2",writer/palmyra-x-v2,math_chain_of_thought,generation,precalculus
419,"math:subject=precalculus,level=1,use_official_examples=False,use_chain_of_thought=True,model=writer_palmyra-x-v3",writer/palmyra-x-v3,math_chain_of_thought,generation,precalculus
420,med_qa:model=01-ai_yi-34b,01-ai/yi-34b,med_qa,multiple_choice_joint,-
421,med_qa:model=01-ai_yi-6b,01-ai/yi-6b,med_qa,multiple_choice_joint,-
422,med_qa:model=AlephAlpha_luminous-base,AlephAlpha/luminous-base,med_qa,multiple_choice_joint,-
423,med_qa:model=AlephAlpha_luminous-extended,AlephAlpha/luminous-extended,med_qa,multiple_choice_joint,-
424,med_qa:model=AlephAlpha_luminous-supreme,AlephAlpha/luminous-supreme,med_qa,multiple_choice_joint,-
425,med_qa:model=ai21_j2-grande,ai21/j2-grande,med_qa,multiple_choice_joint,-
426,med_qa:model=ai21_j2-jumbo,ai21/j2-jumbo,med_qa,multiple_choice_joint,-
427,med_qa:model=anthropic_claude-2.0,anthropic/claude-2.0,med_qa,multiple_choice_joint,-
428,med_qa:model=anthropic_claude-2.1,anthropic/claude-2.1,med_qa,multiple_choice_joint,-
429,med_qa:model=anthropic_claude-instant-1.2,anthropic/claude-instant-1.2,med_qa,multiple_choice_joint,-
430,med_qa:model=anthropic_claude-v1.3,anthropic/claude-v1.3,med_qa,multiple_choice_joint,-
431,med_qa:model=cohere_command,cohere/command,med_qa,multiple_choice_joint,-
432,med_qa:model=cohere_command-light,cohere/command-light,med_qa,multiple_choice_joint,-
433,med_qa:model=google_text-bison@001,google/text-bison@001,med_qa,multiple_choice_joint,-
434,med_qa:model=google_text-unicorn@001,google/text-unicorn@001,med_qa,multiple_choice_joint,-
435,med_qa:model=meta_llama-2-13b,meta/llama-2-13b,med_qa,multiple_choice_joint,-
436,med_qa:model=meta_llama-2-70b,meta/llama-2-70b,med_qa,multiple_choice_joint,-
437,med_qa:model=meta_llama-2-7b,meta/llama-2-7b,med_qa,multiple_choice_joint,-
438,med_qa:model=meta_llama-65b,meta/llama-65b,med_qa,multiple_choice_joint,-
439,med_qa:model=mistralai_mistral-7b-v0.1,mistralai/mistral-7b-v0.1,med_qa,multiple_choice_joint,-
440,med_qa:model=mistralai_mixtral-8x7b-32kseqlen,mistralai/mixtral-8x7b-32kseqlen,med_qa,multiple_choice_joint,-
441,med_qa:model=openai_gpt-3.5-turbo-0613,openai/gpt-3.5-turbo-0613,med_qa,multiple_choice_joint,-
442,med_qa:model=openai_gpt-4-0613,openai/gpt-4-0613,med_qa,multiple_choice_joint,-
443,med_qa:model=openai_gpt-4-1106-preview,openai/gpt-4-1106-preview,med_qa,multiple_choice_joint,-
444,med_qa:model=openai_text-davinci-002,openai/text-davinci-002,med_qa,multiple_choice_joint,-
445,med_qa:model=openai_text-davinci-003,openai/text-davinci-003,med_qa,multiple_choice_joint,-
446,med_qa:model=tiiuae_falcon-40b,tiiuae/falcon-40b,med_qa,multiple_choice_joint,-
447,med_qa:model=tiiuae_falcon-7b,tiiuae/falcon-7b,med_qa,multiple_choice_joint,-
448,med_qa:model=writer_palmyra-x-v2,writer/palmyra-x-v2,med_qa,multiple_choice_joint,-
449,med_qa:model=writer_palmyra-x-v3,writer/palmyra-x-v3,med_qa,multiple_choice_joint,-
450,"mmlu:subject=abstract_algebra,method=multiple_choice_joint,model=01-ai_yi-34b",01-ai/yi-34b,mmlu,multiple_choice_joint,abstract_algebra
451,"mmlu:subject=abstract_algebra,method=multiple_choice_joint,model=01-ai_yi-6b",01-ai/yi-6b,mmlu,multiple_choice_joint,abstract_algebra
452,"mmlu:subject=abstract_algebra,method=multiple_choice_joint,model=AlephAlpha_luminous-base",AlephAlpha/luminous-base,mmlu,multiple_choice_joint,abstract_algebra
453,"mmlu:subject=abstract_algebra,method=multiple_choice_joint,model=AlephAlpha_luminous-extended",AlephAlpha/luminous-extended,mmlu,multiple_choice_joint,abstract_algebra
454,"mmlu:subject=abstract_algebra,method=multiple_choice_joint,model=AlephAlpha_luminous-supreme",AlephAlpha/luminous-supreme,mmlu,multiple_choice_joint,abstract_algebra
455,"mmlu:subject=abstract_algebra,method=multiple_choice_joint,model=ai21_j2-grande",ai21/j2-grande,mmlu,multiple_choice_joint,abstract_algebra
456,"mmlu:subject=abstract_algebra,method=multiple_choice_joint,model=ai21_j2-jumbo",ai21/j2-jumbo,mmlu,multiple_choice_joint,abstract_algebra
457,"mmlu:subject=abstract_algebra,method=multiple_choice_joint,model=anthropic_claude-2.0",anthropic/claude-2.0,mmlu,multiple_choice_joint,abstract_algebra
458,"mmlu:subject=abstract_algebra,method=multiple_choice_joint,model=anthropic_claude-2.1",anthropic/claude-2.1,mmlu,multiple_choice_joint,abstract_algebra
459,"mmlu:subject=abstract_algebra,method=multiple_choice_joint,model=anthropic_claude-instant-1.2",anthropic/claude-instant-1.2,mmlu,multiple_choice_joint,abstract_algebra
460,"mmlu:subject=abstract_algebra,method=multiple_choice_joint,model=anthropic_claude-v1.3",anthropic/claude-v1.3,mmlu,multiple_choice_joint,abstract_algebra
461,"mmlu:subject=abstract_algebra,method=multiple_choice_joint,model=cohere_command",cohere/command,mmlu,multiple_choice_joint,abstract_algebra
462,"mmlu:subject=abstract_algebra,method=multiple_choice_joint,model=cohere_command-light",cohere/command-light,mmlu,multiple_choice_joint,abstract_algebra
463,"mmlu:subject=abstract_algebra,method=multiple_choice_joint,model=google_text-bison@001",google/text-bison@001,mmlu,multiple_choice_joint,abstract_algebra
464,"mmlu:subject=abstract_algebra,method=multiple_choice_joint,model=google_text-unicorn@001",google/text-unicorn@001,mmlu,multiple_choice_joint,abstract_algebra
465,"mmlu:subject=abstract_algebra,method=multiple_choice_joint,model=meta_llama-2-13b",meta/llama-2-13b,mmlu,multiple_choice_joint,abstract_algebra
466,"mmlu:subject=abstract_algebra,method=multiple_choice_joint,model=meta_llama-2-70b",meta/llama-2-70b,mmlu,multiple_choice_joint,abstract_algebra
467,"mmlu:subject=abstract_algebra,method=multiple_choice_joint,model=meta_llama-2-7b",meta/llama-2-7b,mmlu,multiple_choice_joint,abstract_algebra
468,"mmlu:subject=abstract_algebra,method=multiple_choice_joint,model=meta_llama-65b",meta/llama-65b,mmlu,multiple_choice_joint,abstract_algebra
469,"mmlu:subject=abstract_algebra,method=multiple_choice_joint,model=mistralai_mistral-7b-v0.1",mistralai/mistral-7b-v0.1,mmlu,multiple_choice_joint,abstract_algebra
470,"mmlu:subject=abstract_algebra,method=multiple_choice_joint,model=mistralai_mixtral-8x7b-32kseqlen",mistralai/mixtral-8x7b-32kseqlen,mmlu,multiple_choice_joint,abstract_algebra
471,"mmlu:subject=abstract_algebra,method=multiple_choice_joint,model=openai_gpt-3.5-turbo-0613",openai/gpt-3.5-turbo-0613,mmlu,multiple_choice_joint,abstract_algebra
472,"mmlu:subject=abstract_algebra,method=multiple_choice_joint,model=openai_gpt-4-0613",openai/gpt-4-0613,mmlu,multiple_choice_joint,abstract_algebra
473,"mmlu:subject=abstract_algebra,method=multiple_choice_joint,model=openai_gpt-4-1106-preview",openai/gpt-4-1106-preview,mmlu,multiple_choice_joint,abstract_algebra
474,"mmlu:subject=abstract_algebra,method=multiple_choice_joint,model=openai_text-davinci-002",openai/text-davinci-002,mmlu,multiple_choice_joint,abstract_algebra
475,"mmlu:subject=abstract_algebra,method=multiple_choice_joint,model=openai_text-davinci-003",openai/text-davinci-003,mmlu,multiple_choice_joint,abstract_algebra
476,"mmlu:subject=abstract_algebra,method=multiple_choice_joint,model=tiiuae_falcon-40b",tiiuae/falcon-40b,mmlu,multiple_choice_joint,abstract_algebra
477,"mmlu:subject=abstract_algebra,method=multiple_choice_joint,model=tiiuae_falcon-7b",tiiuae/falcon-7b,mmlu,multiple_choice_joint,abstract_algebra
478,"mmlu:subject=abstract_algebra,method=multiple_choice_joint,model=writer_palmyra-x-v2",writer/palmyra-x-v2,mmlu,multiple_choice_joint,abstract_algebra
479,"mmlu:subject=abstract_algebra,method=multiple_choice_joint,model=writer_palmyra-x-v3",writer/palmyra-x-v3,mmlu,multiple_choice_joint,abstract_algebra
480,"mmlu:subject=college_chemistry,method=multiple_choice_joint,model=01-ai_yi-34b",01-ai/yi-34b,mmlu,multiple_choice_joint,college_chemistry
481,"mmlu:subject=college_chemistry,method=multiple_choice_joint,model=01-ai_yi-6b",01-ai/yi-6b,mmlu,multiple_choice_joint,college_chemistry
482,"mmlu:subject=college_chemistry,method=multiple_choice_joint,model=AlephAlpha_luminous-base",AlephAlpha/luminous-base,mmlu,multiple_choice_joint,college_chemistry
483,"mmlu:subject=college_chemistry,method=multiple_choice_joint,model=AlephAlpha_luminous-extended",AlephAlpha/luminous-extended,mmlu,multiple_choice_joint,college_chemistry
484,"mmlu:subject=college_chemistry,method=multiple_choice_joint,model=AlephAlpha_luminous-supreme",AlephAlpha/luminous-supreme,mmlu,multiple_choice_joint,college_chemistry
485,"mmlu:subject=college_chemistry,method=multiple_choice_joint,model=ai21_j2-grande",ai21/j2-grande,mmlu,multiple_choice_joint,college_chemistry
486,"mmlu:subject=college_chemistry,method=multiple_choice_joint,model=ai21_j2-jumbo",ai21/j2-jumbo,mmlu,multiple_choice_joint,college_chemistry
487,"mmlu:subject=college_chemistry,method=multiple_choice_joint,model=anthropic_claude-2.0",anthropic/claude-2.0,mmlu,multiple_choice_joint,college_chemistry
488,"mmlu:subject=college_chemistry,method=multiple_choice_joint,model=anthropic_claude-2.1",anthropic/claude-2.1,mmlu,multiple_choice_joint,college_chemistry
489,"mmlu:subject=college_chemistry,method=multiple_choice_joint,model=anthropic_claude-instant-1.2",anthropic/claude-instant-1.2,mmlu,multiple_choice_joint,college_chemistry
490,"mmlu:subject=college_chemistry,method=multiple_choice_joint,model=anthropic_claude-v1.3",anthropic/claude-v1.3,mmlu,multiple_choice_joint,college_chemistry
491,"mmlu:subject=college_chemistry,method=multiple_choice_joint,model=cohere_command",cohere/command,mmlu,multiple_choice_joint,college_chemistry
492,"mmlu:subject=college_chemistry,method=multiple_choice_joint,model=cohere_command-light",cohere/command-light,mmlu,multiple_choice_joint,college_chemistry
493,"mmlu:subject=college_chemistry,method=multiple_choice_joint,model=google_text-bison@001",google/text-bison@001,mmlu,multiple_choice_joint,college_chemistry
494,"mmlu:subject=college_chemistry,method=multiple_choice_joint,model=google_text-unicorn@001",google/text-unicorn@001,mmlu,multiple_choice_joint,college_chemistry
495,"mmlu:subject=college_chemistry,method=multiple_choice_joint,model=meta_llama-2-13b",meta/llama-2-13b,mmlu,multiple_choice_joint,college_chemistry
496,"mmlu:subject=college_chemistry,method=multiple_choice_joint,model=meta_llama-2-70b",meta/llama-2-70b,mmlu,multiple_choice_joint,college_chemistry
497,"mmlu:subject=college_chemistry,method=multiple_choice_joint,model=meta_llama-2-7b",meta/llama-2-7b,mmlu,multiple_choice_joint,college_chemistry
498,"mmlu:subject=college_chemistry,method=multiple_choice_joint,model=meta_llama-65b",meta/llama-65b,mmlu,multiple_choice_joint,college_chemistry
499,"mmlu:subject=college_chemistry,method=multiple_choice_joint,model=mistralai_mistral-7b-v0.1",mistralai/mistral-7b-v0.1,mmlu,multiple_choice_joint,college_chemistry
500,"mmlu:subject=college_chemistry,method=multiple_choice_joint,model=mistralai_mixtral-8x7b-32kseqlen",mistralai/mixtral-8x7b-32kseqlen,mmlu,multiple_choice_joint,college_chemistry
501,"mmlu:subject=college_chemistry,method=multiple_choice_joint,model=openai_gpt-3.5-turbo-0613",openai/gpt-3.5-turbo-0613,mmlu,multiple_choice_joint,college_chemistry
502,"mmlu:subject=college_chemistry,method=multiple_choice_joint,model=openai_gpt-4-0613",openai/gpt-4-0613,mmlu,multiple_choice_joint,college_chemistry
503,"mmlu:subject=college_chemistry,method=multiple_choice_joint,model=openai_gpt-4-1106-preview",openai/gpt-4-1106-preview,mmlu,multiple_choice_joint,college_chemistry
504,"mmlu:subject=college_chemistry,method=multiple_choice_joint,model=openai_text-davinci-002",openai/text-davinci-002,mmlu,multiple_choice_joint,college_chemistry
505,"mmlu:subject=college_chemistry,method=multiple_choice_joint,model=openai_text-davinci-003",openai/text-davinci-003,mmlu,multiple_choice_joint,college_chemistry
506,"mmlu:subject=college_chemistry,method=multiple_choice_joint,model=tiiuae_falcon-40b",tiiuae/falcon-40b,mmlu,multiple_choice_joint,college_chemistry
507,"mmlu:subject=college_chemistry,method=multiple_choice_joint,model=tiiuae_falcon-7b",tiiuae/falcon-7b,mmlu,multiple_choice_joint,college_chemistry
508,"mmlu:subject=college_chemistry,method=multiple_choice_joint,model=writer_palmyra-x-v2",writer/palmyra-x-v2,mmlu,multiple_choice_joint,college_chemistry
509,"mmlu:subject=college_chemistry,method=multiple_choice_joint,model=writer_palmyra-x-v3",writer/palmyra-x-v3,mmlu,multiple_choice_joint,college_chemistry
510,"mmlu:subject=computer_security,method=multiple_choice_joint,model=01-ai_yi-34b",01-ai/yi-34b,mmlu,multiple_choice_joint,computer_security
511,"mmlu:subject=computer_security,method=multiple_choice_joint,model=01-ai_yi-6b",01-ai/yi-6b,mmlu,multiple_choice_joint,computer_security
512,"mmlu:subject=computer_security,method=multiple_choice_joint,model=AlephAlpha_luminous-base",AlephAlpha/luminous-base,mmlu,multiple_choice_joint,computer_security
513,"mmlu:subject=computer_security,method=multiple_choice_joint,model=AlephAlpha_luminous-extended",AlephAlpha/luminous-extended,mmlu,multiple_choice_joint,computer_security
514,"mmlu:subject=computer_security,method=multiple_choice_joint,model=AlephAlpha_luminous-supreme",AlephAlpha/luminous-supreme,mmlu,multiple_choice_joint,computer_security
515,"mmlu:subject=computer_security,method=multiple_choice_joint,model=ai21_j2-grande",ai21/j2-grande,mmlu,multiple_choice_joint,computer_security
516,"mmlu:subject=computer_security,method=multiple_choice_joint,model=ai21_j2-jumbo",ai21/j2-jumbo,mmlu,multiple_choice_joint,computer_security
517,"mmlu:subject=computer_security,method=multiple_choice_joint,model=anthropic_claude-2.0",anthropic/claude-2.0,mmlu,multiple_choice_joint,computer_security
518,"mmlu:subject=computer_security,method=multiple_choice_joint,model=anthropic_claude-2.1",anthropic/claude-2.1,mmlu,multiple_choice_joint,computer_security
519,"mmlu:subject=computer_security,method=multiple_choice_joint,model=anthropic_claude-instant-1.2",anthropic/claude-instant-1.2,mmlu,multiple_choice_joint,computer_security
520,"mmlu:subject=computer_security,method=multiple_choice_joint,model=anthropic_claude-v1.3",anthropic/claude-v1.3,mmlu,multiple_choice_joint,computer_security
521,"mmlu:subject=computer_security,method=multiple_choice_joint,model=cohere_command",cohere/command,mmlu,multiple_choice_joint,computer_security
522,"mmlu:subject=computer_security,method=multiple_choice_joint,model=cohere_command-light",cohere/command-light,mmlu,multiple_choice_joint,computer_security
523,"mmlu:subject=computer_security,method=multiple_choice_joint,model=google_text-bison@001",google/text-bison@001,mmlu,multiple_choice_joint,computer_security
524,"mmlu:subject=computer_security,method=multiple_choice_joint,model=google_text-unicorn@001",google/text-unicorn@001,mmlu,multiple_choice_joint,computer_security
525,"mmlu:subject=computer_security,method=multiple_choice_joint,model=meta_llama-2-13b",meta/llama-2-13b,mmlu,multiple_choice_joint,computer_security
526,"mmlu:subject=computer_security,method=multiple_choice_joint,model=meta_llama-2-70b",meta/llama-2-70b,mmlu,multiple_choice_joint,computer_security
527,"mmlu:subject=computer_security,method=multiple_choice_joint,model=meta_llama-2-7b",meta/llama-2-7b,mmlu,multiple_choice_joint,computer_security
528,"mmlu:subject=computer_security,method=multiple_choice_joint,model=meta_llama-65b",meta/llama-65b,mmlu,multiple_choice_joint,computer_security
529,"mmlu:subject=computer_security,method=multiple_choice_joint,model=mistralai_mistral-7b-v0.1",mistralai/mistral-7b-v0.1,mmlu,multiple_choice_joint,computer_security
530,"mmlu:subject=computer_security,method=multiple_choice_joint,model=mistralai_mixtral-8x7b-32kseqlen",mistralai/mixtral-8x7b-32kseqlen,mmlu,multiple_choice_joint,computer_security
531,"mmlu:subject=computer_security,method=multiple_choice_joint,model=openai_gpt-3.5-turbo-0613",openai/gpt-3.5-turbo-0613,mmlu,multiple_choice_joint,computer_security
532,"mmlu:subject=computer_security,method=multiple_choice_joint,model=openai_gpt-4-0613",openai/gpt-4-0613,mmlu,multiple_choice_joint,computer_security
533,"mmlu:subject=computer_security,method=multiple_choice_joint,model=openai_gpt-4-1106-preview",openai/gpt-4-1106-preview,mmlu,multiple_choice_joint,computer_security
534,"mmlu:subject=computer_security,method=multiple_choice_joint,model=openai_text-davinci-002",openai/text-davinci-002,mmlu,multiple_choice_joint,computer_security
535,"mmlu:subject=computer_security,method=multiple_choice_joint,model=openai_text-davinci-003",openai/text-davinci-003,mmlu,multiple_choice_joint,computer_security
536,"mmlu:subject=computer_security,method=multiple_choice_joint,model=tiiuae_falcon-40b",tiiuae/falcon-40b,mmlu,multiple_choice_joint,computer_security
537,"mmlu:subject=computer_security,method=multiple_choice_joint,model=tiiuae_falcon-7b",tiiuae/falcon-7b,mmlu,multiple_choice_joint,computer_security
538,"mmlu:subject=computer_security,method=multiple_choice_joint,model=writer_palmyra-x-v2",writer/palmyra-x-v2,mmlu,multiple_choice_joint,computer_security
539,"mmlu:subject=computer_security,method=multiple_choice_joint,model=writer_palmyra-x-v3",writer/palmyra-x-v3,mmlu,multiple_choice_joint,computer_security
540,"mmlu:subject=econometrics,method=multiple_choice_joint,model=01-ai_yi-34b",01-ai/yi-34b,mmlu,multiple_choice_joint,econometrics
541,"mmlu:subject=econometrics,method=multiple_choice_joint,model=01-ai_yi-6b",01-ai/yi-6b,mmlu,multiple_choice_joint,econometrics
542,"mmlu:subject=econometrics,method=multiple_choice_joint,model=AlephAlpha_luminous-base",AlephAlpha/luminous-base,mmlu,multiple_choice_joint,econometrics
543,"mmlu:subject=econometrics,method=multiple_choice_joint,model=AlephAlpha_luminous-extended",AlephAlpha/luminous-extended,mmlu,multiple_choice_joint,econometrics
544,"mmlu:subject=econometrics,method=multiple_choice_joint,model=AlephAlpha_luminous-supreme",AlephAlpha/luminous-supreme,mmlu,multiple_choice_joint,econometrics
545,"mmlu:subject=econometrics,method=multiple_choice_joint,model=ai21_j2-grande",ai21/j2-grande,mmlu,multiple_choice_joint,econometrics
546,"mmlu:subject=econometrics,method=multiple_choice_joint,model=ai21_j2-jumbo",ai21/j2-jumbo,mmlu,multiple_choice_joint,econometrics
547,"mmlu:subject=econometrics,method=multiple_choice_joint,model=anthropic_claude-2.0",anthropic/claude-2.0,mmlu,multiple_choice_joint,econometrics
548,"mmlu:subject=econometrics,method=multiple_choice_joint,model=anthropic_claude-2.1",anthropic/claude-2.1,mmlu,multiple_choice_joint,econometrics
549,"mmlu:subject=econometrics,method=multiple_choice_joint,model=anthropic_claude-instant-1.2",anthropic/claude-instant-1.2,mmlu,multiple_choice_joint,econometrics
550,"mmlu:subject=econometrics,method=multiple_choice_joint,model=anthropic_claude-v1.3",anthropic/claude-v1.3,mmlu,multiple_choice_joint,econometrics
551,"mmlu:subject=econometrics,method=multiple_choice_joint,model=cohere_command",cohere/command,mmlu,multiple_choice_joint,econometrics
552,"mmlu:subject=econometrics,method=multiple_choice_joint,model=cohere_command-light",cohere/command-light,mmlu,multiple_choice_joint,econometrics
553,"mmlu:subject=econometrics,method=multiple_choice_joint,model=google_text-bison@001",google/text-bison@001,mmlu,multiple_choice_joint,econometrics
554,"mmlu:subject=econometrics,method=multiple_choice_joint,model=google_text-unicorn@001",google/text-unicorn@001,mmlu,multiple_choice_joint,econometrics
555,"mmlu:subject=econometrics,method=multiple_choice_joint,model=meta_llama-2-13b",meta/llama-2-13b,mmlu,multiple_choice_joint,econometrics
556,"mmlu:subject=econometrics,method=multiple_choice_joint,model=meta_llama-2-70b",meta/llama-2-70b,mmlu,multiple_choice_joint,econometrics
557,"mmlu:subject=econometrics,method=multiple_choice_joint,model=meta_llama-2-7b",meta/llama-2-7b,mmlu,multiple_choice_joint,econometrics
558,"mmlu:subject=econometrics,method=multiple_choice_joint,model=meta_llama-65b",meta/llama-65b,mmlu,multiple_choice_joint,econometrics
559,"mmlu:subject=econometrics,method=multiple_choice_joint,model=mistralai_mistral-7b-v0.1",mistralai/mistral-7b-v0.1,mmlu,multiple_choice_joint,econometrics
560,"mmlu:subject=econometrics,method=multiple_choice_joint,model=mistralai_mixtral-8x7b-32kseqlen",mistralai/mixtral-8x7b-32kseqlen,mmlu,multiple_choice_joint,econometrics
561,"mmlu:subject=econometrics,method=multiple_choice_joint,model=openai_gpt-3.5-turbo-0613",openai/gpt-3.5-turbo-0613,mmlu,multiple_choice_joint,econometrics
562,"mmlu:subject=econometrics,method=multiple_choice_joint,model=openai_gpt-4-0613",openai/gpt-4-0613,mmlu,multiple_choice_joint,econometrics
563,"mmlu:subject=econometrics,method=multiple_choice_joint,model=openai_gpt-4-1106-preview",openai/gpt-4-1106-preview,mmlu,multiple_choice_joint,econometrics
564,"mmlu:subject=econometrics,method=multiple_choice_joint,model=openai_text-davinci-002",openai/text-davinci-002,mmlu,multiple_choice_joint,econometrics
565,"mmlu:subject=econometrics,method=multiple_choice_joint,model=openai_text-davinci-003",openai/text-davinci-003,mmlu,multiple_choice_joint,econometrics
566,"mmlu:subject=econometrics,method=multiple_choice_joint,model=tiiuae_falcon-40b",tiiuae/falcon-40b,mmlu,multiple_choice_joint,econometrics
567,"mmlu:subject=econometrics,method=multiple_choice_joint,model=tiiuae_falcon-7b",tiiuae/falcon-7b,mmlu,multiple_choice_joint,econometrics
568,"mmlu:subject=econometrics,method=multiple_choice_joint,model=writer_palmyra-x-v2",writer/palmyra-x-v2,mmlu,multiple_choice_joint,econometrics
569,"mmlu:subject=econometrics,method=multiple_choice_joint,model=writer_palmyra-x-v3",writer/palmyra-x-v3,mmlu,multiple_choice_joint,econometrics
570,"mmlu:subject=us_foreign_policy,method=multiple_choice_joint,model=01-ai_yi-34b",01-ai/yi-34b,mmlu,multiple_choice_joint,us_foreign_policy
571,"mmlu:subject=us_foreign_policy,method=multiple_choice_joint,model=01-ai_yi-6b",01-ai/yi-6b,mmlu,multiple_choice_joint,us_foreign_policy
572,"mmlu:subject=us_foreign_policy,method=multiple_choice_joint,model=AlephAlpha_luminous-base",AlephAlpha/luminous-base,mmlu,multiple_choice_joint,us_foreign_policy
573,"mmlu:subject=us_foreign_policy,method=multiple_choice_joint,model=AlephAlpha_luminous-extended",AlephAlpha/luminous-extended,mmlu,multiple_choice_joint,us_foreign_policy
574,"mmlu:subject=us_foreign_policy,method=multiple_choice_joint,model=AlephAlpha_luminous-supreme",AlephAlpha/luminous-supreme,mmlu,multiple_choice_joint,us_foreign_policy
575,"mmlu:subject=us_foreign_policy,method=multiple_choice_joint,model=ai21_j2-grande",ai21/j2-grande,mmlu,multiple_choice_joint,us_foreign_policy
576,"mmlu:subject=us_foreign_policy,method=multiple_choice_joint,model=ai21_j2-jumbo",ai21/j2-jumbo,mmlu,multiple_choice_joint,us_foreign_policy
577,"mmlu:subject=us_foreign_policy,method=multiple_choice_joint,model=anthropic_claude-2.0",anthropic/claude-2.0,mmlu,multiple_choice_joint,us_foreign_policy
578,"mmlu:subject=us_foreign_policy,method=multiple_choice_joint,model=anthropic_claude-2.1",anthropic/claude-2.1,mmlu,multiple_choice_joint,us_foreign_policy
579,"mmlu:subject=us_foreign_policy,method=multiple_choice_joint,model=anthropic_claude-instant-1.2",anthropic/claude-instant-1.2,mmlu,multiple_choice_joint,us_foreign_policy
580,"mmlu:subject=us_foreign_policy,method=multiple_choice_joint,model=anthropic_claude-v1.3",anthropic/claude-v1.3,mmlu,multiple_choice_joint,us_foreign_policy
581,"mmlu:subject=us_foreign_policy,method=multiple_choice_joint,model=cohere_command",cohere/command,mmlu,multiple_choice_joint,us_foreign_policy
582,"mmlu:subject=us_foreign_policy,method=multiple_choice_joint,model=cohere_command-light",cohere/command-light,mmlu,multiple_choice_joint,us_foreign_policy
583,"mmlu:subject=us_foreign_policy,method=multiple_choice_joint,model=google_text-bison@001",google/text-bison@001,mmlu,multiple_choice_joint,us_foreign_policy
584,"mmlu:subject=us_foreign_policy,method=multiple_choice_joint,model=google_text-unicorn@001",google/text-unicorn@001,mmlu,multiple_choice_joint,us_foreign_policy
585,"mmlu:subject=us_foreign_policy,method=multiple_choice_joint,model=meta_llama-2-13b",meta/llama-2-13b,mmlu,multiple_choice_joint,us_foreign_policy
586,"mmlu:subject=us_foreign_policy,method=multiple_choice_joint,model=meta_llama-2-70b",meta/llama-2-70b,mmlu,multiple_choice_joint,us_foreign_policy
