T,Model,Average ⬆️,ARC,HellaSwag,MMLU,TruthfulQA,Winogrande,GSM8K,Type,Architecture,Weight type,Precision,Merged,Hub License,#Params (B),Hub ❤️,Available on the hub,Model sha,Flagged,MoE
⭕,PulsarAI/EnsembleV5-Nova-13B,56.49,62.71,82.55,56.79,49.86,76.24,10.77,instruction-tuned,Unknown,Original,float16,False,?,13.02,0.0,True,3e25556187ba576082a85c270d2d4b4ea6ea9f6f,False,False
🔶,PygmalionAI/mythalion-13b,56.48,61.26,83.81,56.53,46.56,77.43,13.27,fine-tuned,LlamaForCausalLM,Original,float16,False,llama2,13.02,106.0,True,24916f62b8243a7e4646ea53eeb45d890cbd308f,False,False
⭕,jingyeom/SOLAR_KO_1.3_deup,56.47,55.97,79.97,55.88,47.55,76.87,22.59,instruction-tuned,LlamaForCausalLM,Original,float16,False,apache-2.0,10.85,0.0,True,3218e4304fe55ec950347c96018f14f60baca25d,False,False
🔶,uukuguy/speechless-code-mistral-7b-v2.0,56.47,52.47,75.61,51.31,52.05,71.43,35.94,fine-tuned,MistralForCausalLM,Original,bfloat16,False,apache-2.0,7.0,2.0,True,8371b49e786758da62de015daa006c0e58b7ce82,False,False
🔶,ehartford/WizardLM-30B-Uncensored,56.46,60.24,82.93,56.8,51.57,74.35,12.89,fine-tuned,Unknown,Original,float16,False,?,32.32,0.0,True,761783745fcb97831ad8035d3cbd5de484aca3ce,False,False
🔶,SciPhi/SciPhi-Self-RAG-Mistral-7B-32k,56.46,57.34,80.44,60.81,45.63,74.82,19.71,fine-tuned,MistralForCausalLM,Original,float16,False,mit,7.0,64.0,True,640192e2ba5898f87c407a9f771fc270f7628dee,False,False
🔶,royallab/Pygmalion-2-13b-SuperCOT,56.46,63.23,83.68,54.9,53.14,77.51,6.29,fine-tuned,LlamaForCausalLM,Original,float16,False,llama2,13.02,7.0,True,763b3fd5afc3e7fb6c7c8768d40f06901c8d5913,False,False
🔶,jefferylovely/AiMaven-Orca2,56.45,54.69,79.0,54.61,53.43,74.35,22.59,fine-tuned,LlamaForCausalLM,Original,float16,False,other,13.02,0.0,True,fbba65dad747e1461c2b024fe6cc690a3b20db24,False,False
🔶,Sao10K/Stheno-Inverted-L2-13B,56.44,59.3,82.9,56.45,52.04,74.74,13.19,fine-tuned,LlamaForCausalLM,Original,float16,False,llama2,13.0,2.0,True,efaf592c95ae8e769e0d56d36ba4ed23e3bf4059,False,False
⭕,TFLai/Nova-13B,56.44,62.71,82.57,57.98,51.34,77.27,6.75,instruction-tuned,Unknown,Original,float16,False,?,13.02,0.0,True,ae1145f9fa846ab8d39d8b7da888287ef917efb5,False,False
🔶,Sao10K/Stheno-L2-13B,56.43,61.01,83.95,56.33,50.18,75.14,11.98,fine-tuned,LlamaForCausalLM,Original,float16,True,llama2,13.0,10.0,True,c4e7b771e30fdbfd6bd2e66a6928024bd5692bbd,True,False
🔶,Sao10K/Mythical-Destroyer-L2-13B,56.39,58.7,82.0,57.66,56.35,74.66,8.95,fine-tuned,LlamaForCausalLM,Original,float16,False,llama2,13.02,2.0,True,7c87376b201b1c30c4e12c0b7bc2f28f017ce7bc,False,False
🔶,yeen214/llama2_7b_merge_orcafamily,56.38,56.91,81.17,51.49,49.68,75.93,23.12,fine-tuned,LlamaForCausalLM,Original,float16,False,mit,6.74,0.0,True,fb65f697de632f2f3fef57fc3cd12fb5e4913a89,False,False
🔶,PocketDoc/Dans-AdventurousWinds-Mk2-7b,56.38,58.19,83.48,61.8,43.56,76.32,14.94,fine-tuned,MistralForCausalLM,Original,bfloat16,False,apache-2.0,7.24,10.0,True,cfcc969a7e97275b2298253f1eabf4575e5a3768,False,False
🔶,Undi95/MLewd-v2.4-13B,56.37,61.69,83.83,55.1,53.34,74.51,9.78,fine-tuned,LlamaForCausalLM,Original,float16,False,cc-by-nc-4.0,13.0,21.0,True,6f6ec6024ee054020e49fd96f149919692848f0b,False,False
🔶,uukuguy/speechless-code-mistral-7b-v2.0,56.37,52.3,75.61,51.28,52.05,71.35,35.63,fine-tuned,MistralForCausalLM,Original,float16,False,apache-2.0,7.0,2.0,True,8371b49e786758da62de015daa006c0e58b7ce82,False,False
⭕,jondurbin/airoboros-l2-13b-2.2.1,56.36,60.92,83.77,56.47,49.42,76.01,11.6,instruction-tuned,LlamaForCausalLM,Original,bfloat16,False,llama2,13.0,3.0,True,9b2dbc1f6f17a162228799df6e9449c903ddf04d,False,False
🔶,openchat/openchat_v3.1,56.36,59.81,82.8,56.76,44.45,76.24,18.12,fine-tuned,LlamaForCausalLM,Original,float16,False,llama2,0.0,5.0,True,a95be7130d32da99bcd484f6f436b2dd49341110,False,False
🔶,Doctor-Shotgun/CalliopeDS-L2-13B,56.34,60.49,83.38,55.8,51.32,77.03,10.01,fine-tuned,LlamaForCausalLM,Original,float16,True,agpl-3.0,13.02,7.0,True,b373eda586a6527e62382eda5480204652a82499,True,False
🔶,iGenius-AI-Team/LLAMA-13B-test-finetuning,56.34,58.02,82.36,54.27,44.14,76.72,22.52,fine-tuned,Unknown,Original,bfloat16,False,?,13.02,0.0,True,5bd0eb026b12c59fd198f307c0c17188af69744c,False,False
🔶,Gryphe/MythoMix-L2-13b,56.31,61.09,83.86,55.42,52.08,75.45,9.93,fine-tuned,LlamaForCausalLM,Original,float16,False,other,13.0,18.0,True,eca790fb9394c9c61be27ef709080b3b92783a45,False,False
⭕,lgaalves/mistral-7b_open_platypus,56.29,55.8,82.13,59.76,48.87,78.61,12.59,instruction-tuned,MistralForCausalLM,Original,float16,False,apache-2.0,7.0,0.0,True,b9a60b9ad0fe06bd314ffe99d543f1df6ecd10da,False,False
⭕,yeontaek/Platypus2xOpenOrca-13B-IA3-v2.1,56.29,62.29,82.09,57.91,47.03,77.43,10.99,instruction-tuned,LlamaForCausalLM,Original,float16,False,,13.0,0.0,False,31e1e3235515717a151915131bc970be188d964e,False,False
🔶,ajibawa-2023/Uncensored-Jordan-13B,56.27,57.42,82.7,55.75,50.51,76.16,15.09,fine-tuned,LlamaForCausalLM,Original,bfloat16,False,cc-by-nc-nd-4.0,13.0,3.0,True,c56a396342133bbd75ab3f79622c85cb55be49a4,False,False
🔶,uukuguy/speechless-code-mistral-orca-7b-v1.0,56.24,59.64,82.25,61.33,48.45,77.51,8.26,fine-tuned,MistralForCausalLM,Original,float16,False,llama2,7.0,4.0,True,f7db67fe6c82657b35d0ffcf8b7ff1568d979482,False,False
🔶,Aspik101/StableBeluga-13B-instruct-PL-lora_unload,56.24,60.92,82.13,56.99,48.64,76.56,12.21,fine-tuned,LlamaForCausalLM,Original,float16,False,other,13.0,1.0,False,6e1a6e1f91f6ac97b643be1bd24be6096e2e7dd3,False,False
🔶,adamo1139/Yi-6B-200K-AEZAKMI-v2-rawrr1-DPO,56.2,52.47,77.04,62.57,47.15,71.03,26.91,fine-tuned,LlamaForCausalLM,Original,float16,False,other,6.06,0.0,False,9271df80f5221362cb5ffd71f463f8f8d08c31dc,False,False
🔶,Gryphe/MythoLogic-L2-13b,56.19,61.01,83.93,55.7,48.64,76.09,11.75,fine-tuned,LlamaForCausalLM,Original,float16,False,other,13.0,17.0,True,665948fc79acc2bcce3e9e7d2b0689ca43ae62d4,False,False
⭕,maywell/Synatra-11B-Testbench,56.17,57.34,78.66,55.56,51.97,75.77,17.74,instruction-tuned,Unknown,Original,float16,False,?,11.0,0.0,True,9399ea6c2a1d955e31d6b4d68b2b86115aea0e59,False,False
🔶,Sao10K/Stheno-1.2-L2-13B,56.15,60.75,83.67,56.27,50.32,74.98,10.92,fine-tuned,LlamaForCausalLM,Original,float16,True,llama2,13.0,0.0,True,e76f35fe771ef142d6629092bd4a93301fd6cd4a,True,False
⭕,Locutusque/Orca-2-13b-SFT-v6,56.15,60.41,80.46,59.51,54.01,77.43,5.08,instruction-tuned,LlamaForCausalLM,Original,bfloat16,False,other,13.02,3.0,True,c31bf6f2d18f8fa4f6a25444ace549c4394b2b5a,False,False
🔶,elyza/ELYZA-japanese-Llama-2-13b,56.14,57.0,80.89,54.38,40.43,76.87,27.29,fine-tuned,LlamaForCausalLM,Original,float16,False,llama2,13.0,10.0,True,24be61d31af8ac3e8c57d924c749ca3cf5f681ba,False,False
⭕,TFLai/SpeechlessV1-Nova-13B,56.14,61.77,82.68,57.75,51.44,77.43,5.76,instruction-tuned,Unknown,Original,float16,False,?,13.02,0.0,True,fbe6f0e32b5ecf9d75510d0b11a286466f46d79e,False,False
🔶,HenryJJ/Instruct_Yi-6B_Dolly_CodeAlpaca,56.11,53.16,75.3,63.06,41.42,75.37,28.35,fine-tuned,LlamaForCausalLM,Original,float16,False,apache-2.0,6.06,0.0,True,97c31498b579cf4808195dd21a858a258d40b2dc,False,False
🔶,WhoTookMyAmogusNickname/NewHope_HF_not_official,56.11,61.09,84.03,55.73,44.96,74.98,15.85,fine-tuned,LlamaForCausalLM,Original,float16,False,llama2,0.0,1.0,True,f587f4a31de6818f4200d9cdc7f116ca8ba1cdc2,False,False
🔶,Austism/chronos-hermes-13b-v2,56.1,60.32,83.21,55.05,50.91,75.37,11.75,fine-tuned,LlamaForCausalLM,Original,float16,False,other,13.0,16.0,True,2f0e2cb734685a6ce0736a9f3e909a795d7592cc,False,False
⭕,PulsarAI/Nebula-7B,56.1,59.3,83.46,57.0,45.56,76.4,14.86,instruction-tuned,Unknown,Original,float16,False,?,7.24,0.0,True,569f848698a468fb03d37033c67f3734bbaec127,False,False
🔶,kaist-ai/prometheus-13b-v1.0,56.09,53.24,80.75,51.49,45.66,73.72,31.69,fine-tuned,LlamaForCausalLM,Original,float16,False,apache-2.0,13.0,80.0,True,9088377314f91af4b48940e09a0c76d0878f5020,False,False
🔶,augtoma/qCammel-13,56.05,60.84,83.66,56.73,47.54,76.16,11.37,fine-tuned,LlamaForCausalLM,Original,float16,False,other,0.0,10.0,True,af473e64f6a4fa02a7e24ee7679eea9505eb179d,False,False
🔶,Undi95/ReMM-SLERP-L2-13B,56.03,60.92,83.56,55.33,51.97,75.22,9.17,fine-tuned,LlamaForCausalLM,Original,float16,False,cc-by-nc-4.0,13.0,17.0,True,27baccf242bc1dc34fc39661a40bbf867cbea8b5,False,False
🔶,The-Face-Of-Goonery/Huginn-13b-v1.2,56.03,60.92,83.56,55.33,51.97,75.22,9.17,fine-tuned,LlamaForCausalLM,Original,float16,False,,13.0,12.0,False,cb3562e7aae05a95fe61610b7b8f4957d3529ce7,False,False
🔶,ajibawa-2023/carl-33b,56.03,64.59,85.27,58.38,45.32,76.24,6.37,fine-tuned,LlamaForCausalLM,Original,bfloat16,False,cc-by-nc-nd-4.0,33.0,8.0,True,5f80b372b493d901cab4490b4f23c71499023615,False,False
🔶,WebraftAI/synapsellm-7b-mistral-v0.5-preview,56.03,52.73,76.51,54.67,55.16,74.35,22.74,fine-tuned,MistralForCausalLM,Original,float16,False,apache-2.0,7.24,0.0,True,d1b4d9a4657d145ce7cda431ed46076c1518af55,False,False
🔶,Weyaxi/neural-chat-7b-v3-1-Nebula-v2-7B,56.01,61.77,80.21,59.07,58.56,71.82,4.62,fine-tuned,MistralForCausalLM,Original,float16,False,apache-2.0,7.24,1.0,True,0b98e4ca35764da09cabcaaebbdac1f827629219,False,False
🔶,Gryphe/MythoMax-L2-13b,56.0,60.92,83.56,55.33,51.97,75.22,9.02,fine-tuned,LlamaForCausalLM,Original,float16,False,other,13.0,188.0,True,faa4ef8c87dbb00d447904ceb048d49b6a463d07,False,False
⭕,The-Face-Of-Goonery/huginnv1.2,55.98,62.37,84.28,57.02,47.81,75.22,9.17,instruction-tuned,Unknown,Original,float16,False,?,12.85,0.0,True,aed4ddc951c657993939fa5b87a4088550569a3b,False,False
🔶,NousResearch/Nous-Hermes-Llama2-13b,55.97,61.52,83.29,55.11,50.38,75.45,10.08,fine-tuned,LlamaForCausalLM,Original,bfloat16,False,['mit'],13.0,262.0,True,8f95aa9cd207db7b24179fc779c2b8973e71bee2,False,False
🔶,ehartford/Samantha-1.11-13b,55.97,60.84,82.99,55.96,47.72,76.01,12.28,fine-tuned,Unknown,Original,float16,False,?,12.85,0.0,True,e355ead3a939f471fe2586201156fb972fad0f4b,False,False
🔶,YeungNLP/LongQLoRA-Vicuna-13b-8k,55.96,56.4,81.05,53.68,47.07,74.51,23.05,fine-tuned,LlamaForCausalLM,Original,float16,False,apache-2.0,13.0,0.0,True,470c90e30f9e49e948e066373c3ea6878ee5f171,False,False
⭕,KnutJaegersberg/Walter-SOLAR-11B,55.95,60.41,84.86,64.99,44.88,79.56,0.99,instruction-tuned,LlamaForCausalLM,Original,float16,False,apache-2.0,10.73,3.0,True,e7bbf8ba7572aced748c7fc7368dc024e2df7df0,False,False
🔶,Undi95/Nous-Hermes-13B-Code,55.93,61.18,83.21,55.13,50.56,75.14,10.39,fine-tuned,LlamaForCausalLM,Original,float16,False,cc-by-nc-4.0,13.0,5.0,True,5a45cb2a6442581ce32cc19c561c49cec1db4ebb,True,True
⭕,PulsarAI/Chat-AYB-Platypus2-13B,55.93,60.49,84.03,57.83,54.52,75.77,2.96,instruction-tuned,Unknown,Original,float16,False,?,13.02,0.0,True,5a54eb9d5a66df4720ec52422f5627ccd94d5fd6,False,False
🔶,WebraftAI/synapsellm-7b-mistral-v0.4-preview2,55.93,52.99,74.54,54.6,53.79,73.95,25.7,fine-tuned,MistralForCausalLM,Original,float16,False,apache-2.0,7.24,0.0,True,59e4ad04a24b656401fab0e8f20de387aaa95512,False,False
🔶,WebraftAI/synapsellm-7b-mistral-v0.5-preview2,55.93,52.22,75.54,51.64,55.47,73.09,27.6,fine-tuned,MistralForCausalLM,Original,float16,False,apache-2.0,7.24,0.0,True,b6378fa3b7d39f946d3ce1e0b854622c2866cf7e,False,False
🔶,sauce1337/AppleSauce-L2-13b,55.91,61.01,83.61,57.07,47.81,75.93,10.01,fine-tuned,LlamaForCausalLM,Original,float16,False,cc-by-nc-4.0,13.02,1.0,True,ba253c52eb85e24987c81e5d36b5a9a00e276ce7,False,False
🔶,migtissera/Synthia-13B-v1.2,55.9,61.26,82.93,56.47,47.27,76.48,10.99,fine-tuned,LlamaForCausalLM,Original,float16,False,llama2,13.0,8.0,True,60d4937ac3c4dcb84c40bbf7265c5cc7f5f3d4f9,False,False
🔶,openBuddy/openbuddy-llama2-34b-v11.1-bf16,55.88,50.0,71.19,55.71,53.01,70.8,34.57,fine-tuned,Unknown,Original,bfloat16,False,?,33.53,0.0,True,21ac0d26c0097e5ac5b4a757493574b156da7731,False,False
🔶,OpenBuddy/openbuddy-codellama2-34b-v11.1-bf16,55.88,50.0,71.19,55.71,53.01,70.8,34.57,fine-tuned,LlamaForCausalLM,Original,bfloat16,False,,34.0,11.0,False,1b361b3634bf59913b47c9dad1b138e99833472b,False,False
🔶,namirocks/tutor-model-13b-ep3,55.88,57.34,81.51,57.02,52.99,74.35,12.05,fine-tuned,LlamaForCausalLM,Original,float16,False,mit,13.0,0.0,True,714f04010ca1c3d72bbeead4a14695576ad36a88,False,False
🔶,luffycodes/vicuna-class-tutor-13b-ep3,55.88,57.34,81.51,57.02,52.99,74.35,12.05,fine-tuned,LlamaForCausalLM,Original,float16,False,llama2,13.0,0.0,True,2cf2424169d31299caff38cd7ac68e69974d6535,False,False
🔶,YeungNLP/firefly-llama2-13b-v1.2,55.87,60.67,80.46,56.51,51.03,74.82,11.75,fine-tuned,LlamaForCausalLM,Original,float16,False,,13.0,2.0,False,97279d20a8c7e2d0576c9ff4b2e15a421c40d58a,False,False
⭕,maywell/Synatra-V0.1-7B-Instruct,55.86,55.29,76.63,55.29,55.76,72.77,19.41,instruction-tuned,MistralForCausalLM,Original,float16,False,cc-by-nc-4.0,7.0,14.0,True,7ee3416f31a3c7e8d5ab4295ac1b641075f36345,False,False
🔶,maywell/Synatra-V0.1-7B,55.86,55.29,76.63,55.29,55.76,72.77,19.41,fine-tuned,Unknown,Original,float16,False,?,7.11,0.0,True,7ee3416f31a3c7e8d5ab4295ac1b641075f36345,False,False
🔶,CausalLM/7B-DPO-alpha,55.84,50.85,73.0,63.39,57.58,67.56,22.67,fine-tuned,LlamaForCausalLM,Original,bfloat16,False,wtfpl,7.0,54.0,False,36501a519950fb80c2e7df77e12c9110dca580f4,False,False
🔶,janhq/Mistral-7B-Instruct-v0.2-DARE,55.84,61.95,75.62,49.99,54.36,74.98,18.12,fine-tuned,Unknown,Original,bfloat16,False,?,7.24,0.0,True,98731ddd2dd52fd1b2c69c4cb95bbb1ac03ce496,False,False
🔶,Danielbrdz/Barcenas-13b,55.83,61.26,82.13,56.25,46.67,76.32,12.36,fine-tuned,LlamaForCausalLM,Original,float16,False,llama2,13.0,0.0,False,fa988ba73f67ad0c8e7fa8f408106ea040070258,False,False
🔶,feidfoe/Metamath-reproduce-7b,55.81,47.18,73.65,42.94,41.58,71.35,58.15,fine-tuned,LlamaForCausalLM,Original,bfloat16,False,llama2,7.0,0.0,True,9955b88b535863a36ee9d9a255260bbc2cdab47b,False,False
🔶,CHIH-HUNG/llama-2-13b-OpenOrca_5w,55.8,61.01,82.82,56.09,44.87,77.74,12.28,fine-tuned,LlamaForCausalLM,Original,float16,False,llama2,13.0,0.0,True,0ddd810c9150492d7318656acac44849651edbf2,False,False
🔶,NousResearch/Nous-Hermes-Llama2-13b,55.75,61.26,83.26,55.04,50.41,75.37,9.17,fine-tuned,LlamaForCausalLM,Original,float16,False,['mit'],13.0,262.0,True,8f95aa9cd207db7b24179fc779c2b8973e71bee2,False,False
🔶,garage-bAInd/Stable-Platypus2-13B,55.75,62.71,82.29,58.3,52.52,76.87,1.82,fine-tuned,LlamaForCausalLM,Original,float16,False,cc-by-nc-sa-4.0,13.02,19.0,True,0e54aa49c24617e30a23a20c0c5da61419b9fe68,False,False
⭕,lu-vae/llama2-13B-sharegpt4-orca-openplatypus-8w,55.75,62.8,84.04,55.13,45.66,75.14,11.75,instruction-tuned,LlamaForCausalLM,Original,bfloat16,False,llama2,13.0,0.0,False,ad086aacf0176911133b6cccfb34364afce9de5a,False,False
🔶,PulsarAI/CollectiveCognition-v1.1-Nebula-7B,55.72,58.11,82.39,57.03,53.53,73.72,9.55,fine-tuned,Unknown,Original,float16,False,?,7.24,0.0,True,c41d373a2d49b79236d6c4d0dfc4086e709c07eb,False,False
🔶,openchat/openchat_v3.1,55.71,60.15,82.84,56.84,44.38,76.24,13.8,fine-tuned,LlamaForCausalLM,Original,bfloat16,False,llama2,0.0,5.0,True,cc708183e430234b8718c08d9f90474569eabeac,False,False
🔶,Sao10K/Stheno-1.1-L2-13B,55.71,60.75,83.64,56.39,50.3,75.22,7.96,fine-tuned,LlamaForCausalLM,Original,float16,True,llama2,13.0,0.0,True,0f45a9f834dd216ce25ffa606b3b1ef2c99e7acd,True,False
⭕,lu-vae/llama2-13b-sharegpt4-test,55.69,58.02,82.65,55.99,48.27,76.09,13.12,instruction-tuned,LlamaForCausalLM,Original,bfloat16,False,llama2,13.0,0.0,False,2be36a2dab4ed0f97727a1508367f53d59950818,False,False
🟢,meta-llama/Llama-2-13b-hf,55.69,59.39,82.13,55.77,37.38,76.64,22.82,pretrained,LlamaForCausalLM,Original,float16,False,,13.02,473.0,False,7da18fb10421c3ae2a1eb92815bad75e84816e35,False,False
🔶,openchat/openchat_v3.2,55.68,59.64,82.68,56.68,44.49,76.95,13.65,fine-tuned,LlamaForCausalLM,Original,float16,False,llama2,0.0,41.0,True,65320bf6dbe0cb4682d45a9e55dbc876502f8b66,False,False
🔶,YeungNLP/firefly-llama2-13b,55.68,59.13,81.99,55.49,51.57,74.66,11.22,fine-tuned,LlamaForCausalLM,Original,float16,False,,13.0,19.0,False,6e918dc8beb1e764def5938fdb8e3f64ba40a456,False,False
🔶,elyza/ELYZA-japanese-Llama-2-13b-fast,55.67,55.89,80.73,54.4,40.31,77.19,25.47,fine-tuned,LlamaForCausalLM,Original,float16,False,llama2,13.0,7.0,True,f2d798d1a7dc6c254575b7a4fe24f4c76652e6d8,False,False
🔶,uukuguy/speechless-hermes-coig-lite-13b,55.65,59.47,82.28,55.18,47.6,78.61,10.77,fine-tuned,LlamaForCausalLM,Original,float16,False,['mit'],13.02,0.0,True,2ee11d9c7acaefb723796227e2ad099b165f0dd9,False,False
🔶,Undi95/U-Amethyst-20B,55.65,62.2,83.11,55.88,53.2,74.19,5.31,fine-tuned,LlamaForCausalLM,Original,float16,False,cc-by-nc-4.0,19.99,23.0,True,c0cbe0b3c88041bb6beef27dbe85146af8dddec9,False,False
🔶,Enno-Ai/ennodata-13b-8bit-raw-15epoch,55.65,61.6,82.2,57.55,53.58,77.51,1.44,fine-tuned,LlamaForCausalLM,Original,float16,False,,13.02,0.0,False,ee2ceaae9cb806bc30df84ba4d598fdf32e53b17,False,False
🔶,ajibawa-2023/Uncensored-Frank-13B,55.64,61.6,82.62,54.55,48.34,74.74,11.98,fine-tuned,LlamaForCausalLM,Original,bfloat16,False,cc-by-nc-nd-4.0,13.0,5.0,True,73a27445e5e5a72857626e551c70542ec607f60c,False,False
🔶,TFLai/Nova-13B-50-step,55.61,61.6,82.31,57.27,51.53,76.56,4.4,fine-tuned,Unknown,Original,float16,False,?,13.02,0.0,True,1a827ccb7f00157b3cc9ce538d61a6ba8d5a65db,False,False
🔶,Severian/ANIMA-Phi-Neptune-Mistral-7B-v4,55.61,55.46,77.63,53.12,59.01,73.48,14.94,fine-tuned,Unknown,Original,float16,False,?,7.11,0.0,True,a8e18f970f7ca994740177d6c228adee9e17aba9,False,False
🔶,defog/sqlcoder-34b-alpha,55.59,54.18,75.93,54.42,40.63,73.48,34.87,fine-tuned,LlamaForCausalLM,Original,float16,False,cc-by-4.0,34.0,131.0,True,6712da4d486caec81d6b1b650d0596517052cffe,True,True
⭕,TFLai/Stable-Platypus2-13B-QLoRA-0.80-epoch,55.56,62.29,82.46,57.09,51.41,76.56,3.56,instruction-tuned,Unknown,Original,float16,False,?,13.02,0.0,True,0c15b8540335b3e21a976a5fc5c33b47927fea6c,False,False
🔶,Severian/ANIMA-Phi-Neptune-Mistral-7B,55.54,55.97,76.22,52.89,59.76,73.48,14.94,fine-tuned,MistralForCausalLM,Original,float16,False,artistic-2.0,7.0,25.0,True,e8e9a4804c842b84def9e9aaae38236d4754f277,False,False
🔶,internlm/internlm-20b-chat,55.53,55.38,78.58,58.53,43.22,78.77,18.73,fine-tuned,Unknown,Original,float16,False,?,20.0,0.0,True,79946225fa7a215e0ebcf4440a9cce88e475deaa,False,False
🔶,CHIH-HUNG/llama-2-13b-dolphin_5w,55.53,60.67,82.69,56.23,44.41,77.35,11.83,fine-tuned,LlamaForCausalLM,Original,float16,False,llama2,13.0,0.0,True,0ec406128968b41a9b7a5f18c358f7638d696b56,False,False
🔶,uukuguy/speechless-hermes-coig-lite-13b,55.51,59.56,82.26,55.3,47.56,78.53,9.86,fine-tuned,LlamaForCausalLM,Original,bfloat16,False,['mit'],13.02,0.0,True,2ee11d9c7acaefb723796227e2ad099b165f0dd9,False,False
🔶,augmxnt/shisa-gamma-7b-v1,55.5,53.16,77.3,55.23,50.73,73.88,22.74,fine-tuned,MistralForCausalLM,Original,bfloat16,False,apache-2.0,7.24,5.0,True,49bf4a58453d191845668b8ff17e4b8f0e9ccae6,False,False
🔶,Sao10K/Stheno-Inverted-1.2-L2-13B,55.5,59.39,83.01,55.77,51.22,74.66,8.95,fine-tuned,LlamaForCausalLM,Original,float16,True,llama2,13.0,0.0,True,8d2e9087093eef1c9173e167beb40b9d034a4655,True,False
🔶,kingbri/airolima-chronos-grad-l2-13B,55.5,59.56,83.5,55.78,44.67,75.85,13.65,fine-tuned,LlamaForCausalLM,Original,float16,True,,13.0,3.0,False,d2ad57b2b50361485b2b04e59a989161599cb08b,True,True
🔶,Undi95/UndiMix-v1-13b,55.5,59.47,82.45,55.83,49.78,75.45,10.01,fine-tuned,LlamaForCausalLM,Original,float16,False,cc-by-nc-4.0,13.02,0.0,True,fd311f52648825d6988d2f945918468ceb32289f,False,False
🔶,kingbri/chronolima-airo-grad-l2-13B,55.5,59.56,83.47,55.8,44.58,75.61,13.95,fine-tuned,LlamaForCausalLM,Original,float16,True,agpl-3.0,13.0,3.0,True,9195bd6ea775daf347a275e190665e10bf1fb54b,True,True
🔶,openchat/openchat_v3.2,55.49,59.47,82.6,56.82,44.51,76.09,13.42,fine-tuned,LlamaForCausalLM,Original,bfloat16,False,llama2,0.0,41.0,True,bc771c901529dedbf04864d0b81452f62301f882,False,False
🔶,Suprit/Zhongjing-LLaMA-base,55.47,55.12,79.72,48.23,48.88,74.82,26.08,fine-tuned,LlamaForCausalLM,Original,float16,False,mit,0.0,0.0,True,1b53d10b830b864d88032ae467016f8a1d7ba239,False,False
🔶,lmsys/vicuna-13b-v1.5,55.41,57.08,81.24,56.67,51.51,74.66,11.3,fine-tuned,LlamaForCausalLM,Original,bfloat16,False,llama2,13.0,145.0,True,3deb0106f72a3a433f0c6ea0cb978bdf14bcd3a6,False,False
🔶,psmathur/model_007_13b_v2,55.41,61.95,82.48,57.32,53.5,75.85,1.36,fine-tuned,Unknown,Original,float16,False,?,12.85,0.0,True,1c959d4b5d5b8683b051f07475bb5c1ab24c8bb0,False,False
🔶,Expert68/llama2_13b_instructed_version2,55.41,60.07,84.05,55.61,46.12,75.61,10.99,fine-tuned,LlamaForCausalLM,Original,float16,False,apache-2.0,13.0,0.0,True,ea321257d81e0f41c985f5155297b7fbd6ac375a,False,False
🔶,migtissera/Synthia-13B,55.41,59.98,81.86,56.11,47.41,76.09,10.99,fine-tuned,LlamaForCausalLM,Original,float16,False,llama2,13.0,10.0,True,fbb23bc41438b016f1df1e9180c6c350a03557ea,False,False
🔶,Enno-Ai/ennodata-raw-pankajmathur-13b-peft,55.4,61.95,82.21,57.44,53.57,75.93,1.29,fine-tuned,LlamaForCausalLM,Original,8bit,False,,13.02,1.0,False,206553873db96a6730d36477837335dbbcc906fc,False,False
🔶,luffycodes/nash-vicuna-13b-v1dot5-ep2-w-rag-w-simple,55.4,59.13,80.64,56.12,51.29,74.66,10.54,fine-tuned,LlamaForCausalLM,Original,bfloat16,False,llama2,13.0,2.0,True,848ef91ab46a72260542283918a971347c6bfa93,False,False
🔶,uukuguy/speechless-orca-platypus-coig-lite-2k-0.6e-13b,55.4,59.9,80.76,58.34,47.97,77.9,7.51,fine-tuned,LlamaForCausalLM,Original,bfloat16,False,cc-by-nc-4.0,13.0,0.0,True,65214c9923d55795ecd6e7f9e0fcee5ba5f26929,False,False
🔶,mosaicml/mpt-30b-chat,55.38,58.7,82.54,51.16,52.42,75.3,12.13,fine-tuned,MPTForCausalLM,Original,float16,False,cc-by-nc-sa-4.0,30.0,193.0,True,54f33278a04aa4e612bca482b82f801ab658e890,False,False
🔶,llm-agents/tora-13b-v1.0,55.37,58.96,82.31,54.59,40.22,75.37,20.77,fine-tuned,LlamaForCausalLM,Original,bfloat16,False,llama2,13.0,4.0,True,0636c1f582c979a5a292cc5f3dc293800b1494e2,False,False
⭕,ehartford/minotaur-llama2-13b-qlora,55.37,60.07,82.42,55.87,45.57,76.24,12.05,instruction-tuned,Unknown,Adapter,bfloat16,False,?,13.0,0.0,True,22c83f7d68e547fb0b59acfa01c60b108c59fe55,False,False
🔶,SicariusSicariiStuff/Tinybra_13B,55.36,55.72,80.99,54.37,49.14,73.8,18.12,fine-tuned,LlamaForCausalLM,Original,float16,False,apache-2.0,13.02,0.0,True,fa81ddf8b87ec339b2519044c4271bc59c4b65aa,False,False
🔶,gaodrew/gaodrew-gorgonzola-13b,55.35,53.84,78.86,71.54,42.58,75.3,10.01,fine-tuned,LlamaForCausalLM,Original,float16,True,,13.0,1.0,False,a53fbe358d4cb546916847d861ccfaf7c724a103,True,False
